ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme LABROQUERE Claudine    ,Mme MEDDAH Assia    ,Mme DEPRAZ Natalie,Mme BUZYN Agnès,M. BOULARD Geoffroy    ,M. CHRISTOPH Frédéric    ,Mme PEREZ Karina,M. BRITEL Karim    ,Mme TAÏEB Karen    ,Mme SÉNÉCHAL Laurence,Mme RÉMY-LELEU Raphaëlle,M. RUPIN Pacôme    ,Mme POL Patricia    ,M. VÉRON Aurélien    ,Mme CHAVANE Christiane    ,Mme LEWI Olivia    ,M. BERKANI Christophe    ,M. WEIL Ariel,Mme LEBRETON Anne    ,M. BULLARA Michaël    ,Mme CAMPION Singrid    ,M. SZPINER Francis,Mme SEBBAH Hanna,Mme FUSI Muriel    ,Mme MARRE Béatrice    ,Mme COPPIN Anne-Sophie,Mme NOVELLI Annie,M. DE BOUCAUD Philippe   ,Mme MAKBOUL Ourida    ,Mme BOULAY-ESPÉRONNIER Céline,Mme GIAZZI Danièle,M. ATLAN Bernard,M. VINCIGUERRA Laurent    ,M. VILLANI Cédric    ,M. GRUNENWALD Cédric,M. LETISSIER Florentin    ,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric    ,Mme ESSEMLALI Lamya    ,Mme PETIT Carine,M. LAYRÉ-CASSOU Franck    ,M. MIGUET Nicolas,M. VAUTIER Vincent,M. GOUJON Philippe    ,Mme IBLED Catherine    ,Mme ROETHLISBERGER Corinne    ,Mme NIAKATÉ Aminata    ,M. VIALE Frédéric    ,M. GUIBERT Géraud,Mme EVREN Agnès,M. DE SAINT JUST Wallerand,Mme TORANIAN Anouch,Mme DIETHELM Victoire    ,M. PRÉAU Jean    ,M. ARNOULD Alexandre    ,Mme PIAZZINI Natasha    ,M. PENINOU Mao    ,M. TIBERI Dominique    ,M. GHOSN Georges    ,M. LE GAL Eric   ,Mme LEMARDELEY Marie-Christine    ,Mme PESKINE Hélène    ,Mme BIRABEN Anne    ,M. AUDOUIN Laurent    ,Mme BERTHOUT Florence    ,Mme NAZZAL Bouchra,Mme DUCAMP Anne    ,M. BELLIARD David    ,Mme CAR Pépita,Mme RANNER-LUXIN Lise-Marie    ,Mme GARNIER Nelly    ,M. D'ETIGNY François,M. LEFORT Jacques    ,M. VAUGLIN François    ,M. ALLMANG Cédrick,M. POITOUX Guillaume    ,M. DEGBEGNI Christian    ,M. HENRY Pierre    ,M. ROËLS Hugo    ,M. RAIFAUD Sylvain    ,M. TANGUY Didier    ,Mme ZLOTNIK Atika    ,M. ZENTAR Pierre-Yves    ,M. FORT Bertil    ,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim    ,M. BONY Clément    ,M. MILLOT Georges,M. GRÉGOIRE Emmanuel    ,Mme MAGNAN Annick    ,Mme MAZETIER Sandrine,Mme MONTANDON Valérie    ,M. REBOURG Patrick,Mme ELBAZ Caroline    ,Mme PIERRE-MARIE Emmanuelle    ,M. PESCHANSKI Marc    ,Mme KIS Antoinette    ,Mme ANDREZ Olivia    ,M. PATOU Fabien    ,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,Mme HOURTOULLE-ROLLET Frédérique    ,M. SENS Romain    ,Mme MANCUSI Rossella Letizia   ,Mme DATI Rachida    ,M. BASCHET Jean-Sébastien    ,Mme BOUILLIEZ Virginie    ,M. MISSOFFE Alexandre    ,Mme FILIPPOVA Diana    ,Mme HASNAOUI Samia    ,M. GOUZERH Denis    ,M. LOUVRADOUX Frédéric    ,Mme LECASBLE Valérie    ,Mme LAPORTE Manon    ,M. PENG Chang Hua,M. AOUDIA Sofiane,Mme ZENTAR Marie-Sophie    ,M. BEN MERZOUG Amir   ,M. QNOUCH Raphaël,M. COUMET Jérôme,Mme SOUYRIS Anne    ,Mme SAULNIER Marielle    ,M. OLIVIER Jean-Baptiste    ,M. DUBOIS Jean-Michel,M. POMMEAU Michel,M. COT Guillaume    ,M. KELLER Thierry    ,M. MAURIN Pierre    ,Mme BÜRKLI Delphine    ,M. PONELLE Marc-Antoine    ,Mme CONTI Fabiola    ,M. DELANERY Côme    ,M. NGATCHA Arnaud    ,Mme BIRON Marie-Claude    ,Mme ROBIN Sophie    ,Mme BABU Hélène    ,M. GODICHEAU Pierre    ,Mme D'HAUTESERRE Jeanne    ,Mme LÉCUYER Catherine    ,Mme MICHEL Athénaïs    ,Mme CRAMBES-RICHAUD Amandine    ,Mme SEGOND Sophie    ,Mme DE HEAULME Alix   ,M. JOSSIER Benoit    ,M. COGAN Guillaume    ,Mme BORDRY Isabelle    ,M. DESPLANTES Florien,M. CHARVILLAT Arnaud,M. PLIEZ Eric,M. LEGRAND Aurélien    ,M. ZRIHEN Ariel    ,M. DIDIER François-Marie    ,M. VUONG Valéry,M. NEZZAR Rayan,Mme SIMONNET Danielle,Mme CALANDRA Frédérique    ,Mme GUHL Antoinette    ,M. DHORASOO Vikash,M. LEJOINDRE Eric,M. BOURNAZEL Pierre-Yves,M. DE GERMAIN Jérôme   ,Mme BOUX Anne-Claire    ,M. ELALOUF Lucas    ,M. GIBERT Florian    ,M. AKSAS Abdellah,M. GRANIER Rudolph,M. MAZUR Jean-Jacques,M. LISCIA Pierre,M. CAMPION Marcel,Mme DABOUSSI Hela,M. GARNIER Patrick,M. ROUXEL Olivier    ,Mme BENISTI Régina    ,M. DAGNAUD François    ,M. LERT Dan,Mme FORTEZA Paula,M. FEDERBUSCH Serge,Mme TOUBIANA Marie    ,M. EL-MARBATI Nordine    ,Mme LEGRAIN Sarah    ,M. PASQUIOU Paul    
16-67,Municipales,2020,1,2020-03-15,4,64,16,67,17,1335,468,461,3,0,458,,,,,,,,,,,,,,,,,,,,,,233.0,102.0,20.0,33.0,27.0,1.0,2.0,1.0,12.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-68,Municipales,2020,1,2020-03-15,4,64,16,68,18,1400,471,471,2,11,458,,,,,,,,,,,,,,,,,,,,,,228.0,95.0,10.0,44.0,26.0,1.0,0.0,2.0,26.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1,Municipales,2020,1,2020-03-15,11,55,14,1,28,1375,638,638,5,7,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97.0,3.0,70.0,103.0,87.0,24.0,224.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-2,Municipales,2020,1,2020-03-15,11,55,14,2,22,1495,657,657,1,6,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,84.0,5.0,84.0,132.0,81.0,24.0,215.0,11.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-3,Municipales,2020,1,2020-03-15,11,55,14,3,32,1620,828,828,5,17,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,99.0,4.0,97.0,162.0,150.0,22.0,257.0,8.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-4,Municipales,2020,1,2020-03-15,11,55,14,4,26,1528,695,695,1,9,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,80.0,11.0,88.0,117.0,109.0,22.0,240.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-5,Municipales,2020,1,2020-03-15,11,55,14,5,28,1409,657,657,3,5,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.0,6.0,60.0,126.0,101.0,19.0,238.0,9.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-6,Municipales,2020,1,2020-03-15,11,55,14,6,31,1480,760,760,1,8,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,93.0,2.0,98.0,151.0,126.0,20.0,244.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-7,Municipales,2020,1,2020-03-15,11,55,14,7,25,1474,692,691,5,6,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,73.0,2.0,94.0,132.0,105.0,21.0,237.0,10.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-8,Municipales,2020,1,2020-03-15,11,55,14,8,27,1484,734,734,4,8,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,110.0,8.0,78.0,144.0,126.0,18.0,215.0,15.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-9,Municipales,2020,1,2020-03-15,11,55,14,9,24,1512,729,729,4,5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,98.0,3.0,80.0,131.0,116.0,20.0,258.0,7.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-10,Municipales,2020,1,2020-03-15,11,55,14,10,18,1443,581,581,2,11,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,63.0,9.0,65.0,118.0,87.0,18.0,180.0,18.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-11,Municipales,2020,1,2020-03-15,11,55,14,11,17,1398,636,636,6,10,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,73.0,3.0,82.0,124.0,112.0,22.0,188.0,10.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-12,Municipales,2020,1,2020-03-15,11,55,14,12,18,1570,743,743,3,11,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,88.0,5.0,73.0,162.0,118.0,27.0,223.0,19.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-13,Municipales,2020,1,2020-03-15,11,55,14,13,18,1561,769,769,8,13,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,90.0,5.0,88.0,151.0,105.0,21.0,262.0,17.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-14,Municipales,2020,1,2020-03-15,11,56,14,14,30,1573,843,843,4,8,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127.0,1.0,83.0,189.0,171.0,19.0,217.0,18.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-15,Municipales,2020,1,2020-03-15,11,56,14,15,15,1582,724,724,1,9,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,90.0,13.0,73.0,133.0,103.0,30.0,245.0,16.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-16,Municipales,2020,1,2020-03-15,11,56,14,16,20,1544,633,633,3,8,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,81.0,4.0,63.0,132.0,98.0,18.0,205.0,10.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-17,Municipales,2020,1,2020-03-15,11,56,14,17,24,1503,752,752,2,6,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,106.0,5.0,85.0,133.0,125.0,17.0,253.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-18,Municipales,2020,1,2020-03-15,11,56,14,18,19,1583,677,677,11,6,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,82.0,3.0,75.0,104.0,97.0,26.0,255.0,8.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-19,Municipales,2020,1,2020-03-15,11,56,14,19,21,1657,643,642,4,6,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,74.0,5.0,105.0,108.0,76.0,22.0,228.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-20,Municipales,2020,1,2020-03-15,11,56,14,20,14,1417,578,578,3,16,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,54.0,9.0,59.0,112.0,68.0,28.0,213.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-21,Municipales,2020,1,2020-03-15,11,56,14,21,6,1409,498,498,2,13,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,32.0,4.0,45.0,108.0,42.0,18.0,202.0,13.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-22,Municipales,2020,1,2020-03-15,11,56,14,22,16,1554,648,648,4,7,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,58.0,23.0,68.0,117.0,73.0,28.0,243.0,15.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-23,Municipales,2020,1,2020-03-15,11,56,14,23,10,1552,722,722,6,13,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,92.0,4.0,82.0,124.0,82.0,27.0,263.0,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-24,Municipales,2020,1,2020-03-15,11,56,14,24,32,1618,777,777,5,13,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,93.0,10.0,107.0,116.0,101.0,35.0,284.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-25,Municipales,2020,1,2020-03-15,11,56,14,25,30,1567,741,741,5,9,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.0,2.0,100.0,139.0,124.0,28.0,246.0,7.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-26,Municipales,2020,1,2020-03-15,11,53,14,26,17,1303,619,619,2,6,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,81.0,2.0,64.0,143.0,119.0,18.0,164.0,5.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-27,Municipales,2020,1,2020-03-15,11,53,14,27,28,1105,490,490,5,6,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65.0,1.0,39.0,132.0,123.0,7.0,105.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-28,Municipales,2020,1,2020-03-15,11,53,14,28,40,1567,741,742,6,9,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,93.0,2.0,74.0,167.0,173.0,18.0,183.0,10.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-29,Municipales,2020,1,2020-03-15,11,53,14,29,30,1625,734,734,4,9,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,99.0,5.0,99.0,114.0,107.0,22.0,257.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-30,Municipales,2020,1,2020-03-15,11,53,14,30,22,1424,691,691,1,3,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,82.0,6.0,65.0,153.0,138.0,9.0,209.0,15.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-31,Municipales,2020,1,2020-03-15,11,53,14,31,21,1402,709,709,4,14,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,101.0,5.0,65.0,154.0,155.0,12.0,194.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-32,Municipales,2020,1,2020-03-15,11,53,14,32,25,1423,670,672,7,7,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,87.0,11.0,61.0,125.0,131.0,18.0,194.0,15.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-33,Municipales,2020,1,2020-03-15,11,53,14,33,44,1582,730,730,5,11,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,89.0,2.0,97.0,166.0,124.0,20.0,207.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-34,Municipales,2020,1,2020-03-15,11,54,14,34,14,1380,668,668,7,7,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,115.0,4.0,78.0,125.0,109.0,20.0,184.0,7.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-35,Municipales,2020,1,2020-03-15,11,54,14,35,18,1496,744,744,2,5,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114.0,2.0,71.0,145.0,155.0,14.0,217.0,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-36,Municipales,2020,1,2020-03-15,11,54,14,36,15,1319,529,529,4,11,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,55.0,5.0,52.0,122.0,78.0,23.0,154.0,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-37,Municipales,2020,1,2020-03-15,11,54,14,37,14,1486,643,643,2,6,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,69.0,2.0,77.0,139.0,89.0,27.0,212.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-38,Municipales,2020,1,2020-03-15,11,54,14,38,18,1320,639,639,5,7,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,93.0,1.0,68.0,102.0,110.0,25.0,213.0,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-39,Municipales,2020,1,2020-03-15,11,54,14,39,18,1454,654,654,6,3,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,87.0,8.0,78.0,140.0,107.0,24.0,179.0,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-40,Municipales,2020,1,2020-03-15,10,54,14,40,20,1596,725,725,3,6,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,93.0,7.0,76.0,138.0,122.0,25.0,242.0,7.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
