ID_BVOTE,NUM_ARROND,TOUR,CANDIDAT,NB_VOTE
17-1,17,1,Mme LABROQUERE Claudine    ,8.0
17-2,17,1,Mme LABROQUERE Claudine    ,5.0
17-3,17,1,Mme LABROQUERE Claudine    ,4.0
17-4,17,1,Mme LABROQUERE Claudine    ,7.0
17-5,17,1,Mme LABROQUERE Claudine    ,10.0
17-6,17,1,Mme LABROQUERE Claudine    ,5.0
17-7,17,1,Mme LABROQUERE Claudine    ,11.0
17-8,17,1,Mme LABROQUERE Claudine    ,10.0
17-9,17,1,Mme LABROQUERE Claudine    ,3.0
17-10,17,1,Mme LABROQUERE Claudine    ,6.0
17-11,17,1,Mme LABROQUERE Claudine    ,16.0
17-12,17,1,Mme LABROQUERE Claudine    ,10.0
17-13,17,1,Mme LABROQUERE Claudine    ,15.0
17-14,17,1,Mme LABROQUERE Claudine    ,11.0
17-15,17,1,Mme LABROQUERE Claudine    ,12.0
17-16,17,1,Mme LABROQUERE Claudine    ,13.0
17-17,17,1,Mme LABROQUERE Claudine    ,11.0
17-18,17,1,Mme LABROQUERE Claudine    ,9.0
17-19,17,1,Mme LABROQUERE Claudine    ,8.0
17-20,17,1,Mme LABROQUERE Claudine    ,12.0
17-21,17,1,Mme LABROQUERE Claudine    ,6.0
17-22,17,1,Mme LABROQUERE Claudine    ,13.0
17-23,17,1,Mme LABROQUERE Claudine    ,13.0
17-24,17,1,Mme LABROQUERE Claudine    ,14.0
17-25,17,1,Mme LABROQUERE Claudine    ,13.0
17-26,17,1,Mme LABROQUERE Claudine    ,12.0
17-27,17,1,Mme LABROQUERE Claudine    ,14.0
17-28,17,1,Mme LABROQUERE Claudine    ,9.0
17-29,17,1,Mme LABROQUERE Claudine    ,10.0
17-30,17,1,Mme LABROQUERE Claudine    ,8.0
17-31,17,1,Mme LABROQUERE Claudine    ,5.0
17-32,17,1,Mme LABROQUERE Claudine    ,14.0
17-33,17,1,Mme LABROQUERE Claudine    ,4.0
17-34,17,1,Mme LABROQUERE Claudine    ,12.0
17-35,17,1,Mme LABROQUERE Claudine    ,13.0
17-36,17,1,Mme LABROQUERE Claudine    ,15.0
17-37,17,1,Mme LABROQUERE Claudine    ,9.0
17-38,17,1,Mme LABROQUERE Claudine    ,14.0
17-39,17,1,Mme LABROQUERE Claudine    ,11.0
17-40,17,1,Mme LABROQUERE Claudine    ,19.0
17-41,17,1,Mme LABROQUERE Claudine    ,17.0
17-42,17,1,Mme LABROQUERE Claudine    ,9.0
17-43,17,1,Mme LABROQUERE Claudine    ,21.0
17-44,17,1,Mme LABROQUERE Claudine    ,14.0
17-45,17,1,Mme LABROQUERE Claudine    ,16.0
17-46,17,1,Mme LABROQUERE Claudine    ,11.0
17-47,17,1,Mme LABROQUERE Claudine    ,8.0
17-48,17,1,Mme LABROQUERE Claudine    ,10.0
17-49,17,1,Mme LABROQUERE Claudine    ,17.0
17-50,17,1,Mme LABROQUERE Claudine    ,9.0
17-51,17,1,Mme LABROQUERE Claudine    ,13.0
17-52,17,1,Mme LABROQUERE Claudine    ,14.0
17-53,17,1,Mme LABROQUERE Claudine    ,12.0
17-54,17,1,Mme LABROQUERE Claudine    ,5.0
17-55,17,1,Mme LABROQUERE Claudine    ,14.0
17-56,17,1,Mme LABROQUERE Claudine    ,6.0
17-57,17,1,Mme LABROQUERE Claudine    ,15.0
17-58,17,1,Mme LABROQUERE Claudine    ,20.0
17-59,17,1,Mme LABROQUERE Claudine    ,18.0
17-60,17,1,Mme LABROQUERE Claudine    ,13.0
17-61,17,1,Mme LABROQUERE Claudine    ,16.0
17-62,17,1,Mme LABROQUERE Claudine    ,7.0
17-63,17,1,Mme LABROQUERE Claudine    ,10.0
17-64,17,1,Mme LABROQUERE Claudine    ,8.0
17-65,17,1,Mme LABROQUERE Claudine    ,9.0
17-66,17,1,Mme LABROQUERE Claudine    ,9.0
17-67,17,1,Mme LABROQUERE Claudine    ,14.0
